Timestamp                 NIS
              125468                   0
              125473             8.20664
              125478            0.143358
              125483             1.88779
              125488           0.0882935
              125493             4.16763
              125498            0.234248
              125503             3.44518
              125508           0.0136962
              125513            0.167891
              125518             1.02337
              125523             1.14768
              125528             1.94283
              125533             4.61962
              125538            0.443479
              125543             1.90725
              125548              11.996
              125553            0.988094
              125558             2.96931
              125563             2.00797
              125568             1.81335
              125573              3.2126
              125578             3.72812
              125583            0.246079
              125588            0.223505
              125593             1.93742
              125598             2.29837
              125603             5.43246
              125608            0.612731
              125613             2.12339
              125618            0.254168
              125623             6.38076
              125628            0.400135
              125633             6.79948
              125638            0.707034
              125643             3.95788
              125648             1.87533
              125653             3.81714
              125658             1.11692
              125663             2.33857
              125668             2.59301
              125673             3.00522
              125678             2.63222
              125683            0.678332
              125688            0.276422
              125693             1.49554
              125698            0.656181
              125703            0.632972
              125708             3.39123
              125713             2.65492
              125718             2.26293
              125723             9.87706
              125728             1.16854
              125733           0.0917046
              125738             0.29513
              125743              1.6859
              125748             2.67363
              125753             3.27529
              125758            0.551815
              125763             2.24234
              125768            0.212294
              125773             1.31005
              125778            0.509692
              125783             1.39618
              125788            0.161247
              125793            0.818482
              125798            0.513782
              125803             2.83259
              125808            0.242119
              125813             1.80753
              125818            0.197435
              125823             2.92397
              125828             1.68222
              125833            0.490273
              125838             1.03088
              125843            0.943305
              125848            0.681281
              125853            0.209293
              125858             1.63921
              125863            0.730449
              125868             3.24155
              125873             3.95256
              125878             2.06342
              125883            0.346957
              125888             1.24134
              125893             2.15812
              125898             2.93635
              125903             0.44949
              125908             3.71335
              125913             1.06722
              125918             3.47686
              125923             1.91722
              125928             1.15544
              125933             7.72857
              125938            0.951535
              125943             2.04616
              125948             2.09504
              125953              4.9426
              125958            0.134332
              125963             8.15988
              125968             5.85777
              125973             4.67179
              125978            0.721851
              125983             2.60384
              125988             2.38103
              125993              2.1935
              125998            0.938136
              126003             1.32515
              126008              1.4507
              126013            0.798784
              126018            0.382313
              126023              1.3275
              126028            0.955776
              126033             3.30048
              126038             2.26998
              126043             6.78918
              126048             3.40947
              126053             1.64489
              126058            0.182283
              126063             2.01466
              126068            0.360988
              126073            0.233067
              126078            0.467425
              126083             5.83195
              126088             2.18058
              126093             6.21747
              126098             3.80219
              126103            0.979707
              126108            0.890214
              126113             3.36345
              126118            0.935027
              126123             6.25533
              126128            0.706749
              126133             1.93436
              126138            0.183561
              126143             2.97345
              126148             2.87337
              126153             3.24001
              126158            0.841752
              126163             9.91682
              126168            0.750437
              126173             3.33167
              126178             1.08083
              126183             5.34361
              126188             1.87617
              126193             2.46569
              126198            0.552832
              126203             1.14452
              126208            0.689005
              126213            0.102067
              126218             1.42333
              126223             1.28857
              126228            0.146996
              126233             2.38094
              126238             2.10885
              126243             2.64686
              126248            0.200003
              126253            0.907193
              126258             1.66362
              126263             1.02673
              126268            0.588382
              126273             4.05652
              126278            0.264109
              126283             5.37465
              126288             3.54627
              126293             1.13544
              126298             1.57006
              126303            0.872703
              126308            0.748079
              126313              1.8211
              126318              2.4998
              126323             4.77208
              126328             2.83427
              126333            0.147924
              126338           0.0700355
              126343             3.28238
              126348             2.41177
              126353            0.290995
              126358             0.10075
              126363            0.570741
              126368           0.0915273
              126373              3.0242
              126378            0.191144
              126383             1.56696
              126388             2.21696
              126393             1.77614
              126398             2.05465
              126403             4.79083
              126408            0.501125
              126413             1.57799
              126418             1.04538
              126423             1.14199
              126428             1.13493
              126433              6.8458
              126438             3.60193
